bacteria,filter.D
Corynebacterium matruchotii,TRUE
Corynebacterium minutissimum,FALSE
Corynebacterium mucifaciens,FALSE
Corynebacterium mustelae,FALSE
Corynebacterium mycetoides,FALSE
Corynebacterium nuruki,FALSE
Corynebacterium otitidis,FALSE
Corynebacterium pelargi,FALSE
Corynebacterium phocae,FALSE
Corynebacterium propinquum,FALSE
Corynebacterium provencense,FALSE
Corynebacterium pseudopelargi,FALSE
Corynebacterium pseudotuberculosis,FALSE
Corynebacterium renale,FALSE
Corynebacterium resistens,FALSE
Corynebacterium riegelii,FALSE
Corynebacterium rouxii,TRUE
Corynebacterium sanguinis,FALSE
Corynebacterium segmentosum,FALSE
Corynebacterium simulans,FALSE
Corynebacterium singulare,FALSE
Corynebacterium sp. 1959,FALSE
Corynebacterium sp. 2019,FALSE
Corynebacterium sp. 2039,FALSE
Corynebacterium sp. 2183,FALSE
Corynebacterium sp. 2184,FALSE
Corynebacterium sp. 23H37-10,FALSE
Corynebacterium sp. 4H37-19,FALSE
Corynebacterium sp. ATCC 6931,FALSE
Corynebacterium sp. EPI-003-04-2554_SCH2473622,FALSE
Corynebacterium sp. HMSC034A01,FALSE
Corynebacterium sp. HMSC034B08,FALSE
Corynebacterium sp. HMSC034E11,FALSE
Corynebacterium sp. HMSC035E02,FALSE
Corynebacterium sp. HMSC036D02,FALSE
Corynebacterium sp. HMSC036D03,FALSE
Corynebacterium sp. HMSC036E10,FALSE
Corynebacterium sp. HMSC055A01,FALSE
Corynebacterium sp. HMSC055D05,FALSE
Corynebacterium sp. HMSC055G02,FALSE
Corynebacterium sp. HMSC056E09,FALSE
Corynebacterium sp. HMSC056F09,FALSE
Corynebacterium sp. HMSC058E07,FALSE
Corynebacterium sp. HMSC05D03,FALSE
Corynebacterium sp. HMSC05D08,FALSE
Corynebacterium sp. HMSC05E07,FALSE
Corynebacterium sp. HMSC05H05,FALSE
Corynebacterium sp. HMSC061H03,FALSE
Corynebacterium sp. HMSC062A03,FALSE
Corynebacterium sp. HMSC063A05,FALSE
Corynebacterium sp. HMSC063F04,FALSE
Corynebacterium sp. HMSC063G05,FALSE
Corynebacterium sp. HMSC064E07,FALSE
Corynebacterium sp. HMSC064E08,FALSE
Corynebacterium sp. HMSC065D07,FALSE
Corynebacterium sp. HMSC065H09,FALSE
Corynebacterium sp. HMSC066C02,FALSE
Corynebacterium sp. HMSC069E04,FALSE
Corynebacterium sp. HMSC06C06,FALSE
Corynebacterium sp. HMSC06D04,FALSE
Corynebacterium sp. HMSC06G04,FALSE
Corynebacterium sp. HMSC070B05,FALSE
Corynebacterium sp. HMSC070E08,FALSE
Corynebacterium sp. HMSC070H05,FALSE
Corynebacterium sp. HMSC071B10,FALSE
Corynebacterium sp. HMSC072A02,FALSE
Corynebacterium sp. HMSC072A04,FALSE
Corynebacterium sp. HMSC072B09,FALSE
Corynebacterium sp. HMSC073H12,FALSE
Corynebacterium sp. HMSC074A01,FALSE
Corynebacterium sp. HMSC074C01,FALSE
Corynebacterium sp. HMSC074C05,FALSE
Corynebacterium sp. HMSC074C11,FALSE
Corynebacterium sp. HMSC074E01,FALSE
Corynebacterium sp. HMSC074H12,FALSE
Corynebacterium sp. HMSC075D04,FALSE
Corynebacterium sp. HMSC076D02,FALSE
Corynebacterium sp. HMSC077D03,FALSE
Corynebacterium sp. HMSC077G07,FALSE
Corynebacterium sp. HMSC078A10,FALSE
Corynebacterium sp. HMSC078C09,FALSE
Corynebacterium sp. HMSC078H07,FALSE
Corynebacterium sp. HMSC08A12,FALSE
Corynebacterium sp. HMSC11D10,FALSE
Corynebacterium sp. HMSC14B06,FALSE
Corynebacterium sp. HMSC22B11,FALSE
Corynebacterium sp. HMSC27B11,FALSE
Corynebacterium sp. KPL1818,FALSE
Corynebacterium sp. KPL1824,FALSE
Corynebacterium sp. KPL1856,FALSE
Corynebacterium sp. KPL1859,FALSE
Corynebacterium sp. LMM-1652,FALSE
Corynebacterium sp. Marseille-Q3630,FALSE
Corynebacterium sp. NML 120412,FALSE
Corynebacterium sp. NML 150383,FALSE
Corynebacterium sp. NML93-0612,FALSE
Corynebacterium sp. NML98-0116,FALSE
Corynebacterium sp. sy039,FALSE
Corynebacterium sp. zg-320,FALSE
Corynebacterium sp. zg-917,FALSE
Corynebacterium sphenisci,FALSE
Corynebacterium stationis,FALSE
Corynebacterium striatum,FALSE
Corynebacterium suranareeae,FALSE
Corynebacterium terpenotabidum,FALSE
Corynebacterium testudinoris,FALSE
Corynebacterium timonense,FALSE
Corynebacterium tuberculostearicum,FALSE
Corynebacterium tuscaniense,FALSE
Corynebacterium ulcerans,TRUE
Corynebacterium urealyticum,FALSE
Corynebacterium ureicelerivorans,FALSE
Corynebacterium uterequi,FALSE
Corynebacterium variabile,FALSE
Corynebacterium vitaeruminis,FALSE
Corynebacterium xerosis,FALSE
Costertonia aggregata,FALSE
Coxiella burnetii,FALSE
Coxiella endosymbiont of Amblyomma sculptum,FALSE
Crassaminicella sp. SY095,FALSE
Crateriforma conspicua,FALSE
Crenobacter cavernae,FALSE
Crinalium epipsammum,FALSE
Croceibacter atlanticus,FALSE
Croceicoccus marinus,FALSE
Croceicoccus naphthovorans,FALSE
Crocosphaera subtropica,FALSE
Cronobacter condimenti,FALSE
Cronobacter dublinensis,FALSE
Cronobacter malonaticus,FALSE
Cronobacter muytjensii,FALSE
Cronobacter sakazakii,FALSE
Cronobacter sp. JZ38,FALSE
Cronobacter turicensis,FALSE
Cronobacter universalis,FALSE
Cruoricaptor ignavus,FALSE
Cryobacterium arcticum,FALSE
Cryobacterium soli,FALSE
Cryobacterium sp. LW097,FALSE
Cryptobacterium curtum,FALSE
Cryptococcus gattii VGI,FALSE
Cryptococcus neoformans,FALSE
Cuniculiplasma divulgatum,FALSE
Cupriavidus basilensis,FALSE
Cupriavidus campinensis,FALSE
Cupriavidus gilardii,FALSE
Cupriavidus malaysiensis,FALSE
Cupriavidus metallidurans,FALSE
Cupriavidus nantongensis,FALSE
Cupriavidus necator,FALSE
Cupriavidus neocaledonicus,FALSE
Cupriavidus oxalaticus,FALSE
Cupriavidus pauculus,FALSE
Cupriavidus pinatubonensis,FALSE
Cupriavidus sp. USMAA2-4,FALSE
Cupriavidus taiwanensis,TRUE
Curtobacterium flaccumfaciens,FALSE
Curtobacterium pusillum,FALSE
Curtobacterium sp. BH-2-1-1,FALSE
Curtobacterium sp. Csp2,FALSE
Curtobacterium sp. csp3,FALSE
Curtobacterium sp. MR_MD2014,FALSE
Curtobacterium sp. SGAir0471,FALSE
Curvibacter sp. AEP1-3,FALSE
Cutibacterium acnes,TRUE
Cutibacterium avidum,TRUE
Cutibacterium granulosum,FALSE
Cyanobacterium aponinum,FALSE
cyanobacterium endosymbiont of Epithemia turgida,FALSE
cyanobacterium endosymbiont of Rhopalodia gibberula,FALSE
Cyanobium gracile,FALSE
Cyanobium sp. NIES-981,FALSE
Cyanobium sp. NS01,FALSE
Cyanothece sp. PCC 7425,FALSE
Cyclobacterium amurskyense,FALSE
Cyclobacterium marinum,FALSE
Cycloclasticus sp. P1,FALSE
Cycloclasticus zancles,FALSE
Cylindrospermopsis curvispora,FALSE
Cylindrospermum stagnale,FALSE
Cystobacter fuscus,FALSE
Cytobacillus kochii,FALSE
Cytobacillus oceanisediminis,FALSE
Cytophaga hutchinsonii,FALSE
Dactylococcopsis salina,FALSE
Debaryomyces hansenii,FALSE
Dechloromonas aromatica,FALSE
Dechloromonas sp. HYN0024,FALSE
Dechlorosoma suillum,FALSE
Deefgea sp. D17,FALSE
Deferribacter desulfuricans,FALSE
Defluviicoccus vanus,FALSE
Defluviimonas alba,FALSE
Defluviitoga tunisiensis,FALSE
Dehalobacter restrictus,FALSE
Dehalobacter sp. CF,FALSE
Dehalobacterium formicoaceticum,FALSE
Dehalococcoides mccartyi,FALSE
Dehalogenimonas formicexedens,FALSE
Dehalogenimonas lykanthroporepellens,FALSE
Dehalogenimonas sp. GP,FALSE
Deinococcus actinosclerus,FALSE
Deinococcus deserti,FALSE
Deinococcus ficus,FALSE
Deinococcus geothermalis,FALSE
Deinococcus gobiensis,FALSE
Deinococcus irradiatisoli,FALSE
Deinococcus maricopensis,FALSE
Deinococcus metallilatus,FALSE
Deinococcus peraridilitoris,FALSE
Deinococcus proteolyticus,FALSE
Deinococcus puniceus,FALSE
Deinococcus radiodurans,FALSE
Deinococcus soli Cha et al. 2016,FALSE
Deinococcus sp. AJ005,FALSE
Deinococcus sp. D7000,FALSE
Deinococcus sp. NW-56,FALSE
Deinococcus sp. S14-83,FALSE
Deinococcus swuensis,FALSE
Deinococcus wulumuqiensis,FALSE
Delftia acidovorans,FALSE
Delftia sp. Cs1-4,FALSE
Delftia sp. HK171,FALSE
Delftia tsuruhatensis,FALSE
Denitratisoma oestradiolicum,FALSE
Denitratisoma sp. DHT3,FALSE
Denitrobacterium detoxificans,FALSE
Denitrovibrio acetiphilus,FALSE
Dermabacter hominis,FALSE
Dermabacter jinjuensis,FALSE
Dermabacter vaginalis,FALSE
Dermacoccus nishinomiyaensis,FALSE
Dermacoccus sp. PAMC28757,FALSE
Dermatophilus congolensis,FALSE
Desulfallas gibsoniae,FALSE
Desulfarculus baarsii,FALSE
Desulfatibacillum aliphaticivorans,FALSE
Desulfitobacterium dehalogenans,FALSE
Desulfitobacterium dichloroeliminans,FALSE
Desulfitobacterium hafniense,FALSE
Desulfitobacterium metallireducens,FALSE
Desulfobacca acetoxidans,FALSE
Desulfobacter hydrogenophilus,FALSE
Desulfobacter postgatei,FALSE
Desulfobacterium autotrophicum,FALSE
Desulfobacula toluolica,FALSE
Desulfobulbus oralis,FALSE
Desulfobulbus propionicus,FALSE
Desulfobulbus sp. oral taxon 041,FALSE
Desulfocapsa sulfexigens,FALSE
Desulfococcus multivorans,FALSE
Desulfococcus oleovorans,FALSE
Desulfocurvibacter africanus,FALSE
Desulfofarcimen acetoxidans,FALSE
Desulfoglaeba alkanexedens,FALSE
Desulfohalobium retbaense,FALSE
Desulfolutivibrio sulfoxidireducens,FALSE
Desulfomicrobium baculatum,FALSE
Desulfomicrobium orale,FALSE
Desulfomonile tiedjei,FALSE
Desulfopila sp. IMCC35004,FALSE
Desulfopila sp. IMCC35005,FALSE
Desulfosarcina alkanivorans,FALSE
Desulfosarcina ovata,FALSE
Desulfosarcina widdelii,FALSE
Desulfosporosinus acidiphilus,FALSE
Desulfosporosinus meridiei,FALSE
Desulfosporosinus orientis,FALSE
Desulfosporosinus youngiae,FALSE
Desulfotalea psychrophila,FALSE
Desulfotomaculum ferrireducens,FALSE
Desulfotomaculum nigrificans,FALSE
Desulfotomaculum reducens,FALSE
Desulfotomaculum ruminis,FALSE
Desulfovibrio alaskensis,FALSE
Desulfovibrio carbinolicus,FALSE
Desulfovibrio carbinoliphilus,FALSE
Desulfovibrio desulfuricans,FALSE
Desulfovibrio fairfieldensis,FALSE
Desulfovibrio ferrophilus,FALSE
Desulfovibrio gigas,FALSE
Desulfovibrio magneticus,FALSE
Desulfovibrio marinus,FALSE
Desulfovibrio piger,FALSE
Desulfovibrio sp. 86,FALSE
Desulfovibrio sp. G11,FALSE
Desulfovibrio sp. IOR2,FALSE
Desulfovibrio sulfodismutans,FALSE
Desulfovibrio vulgaris,FALSE
Desulfurella acetivorans,FALSE
Desulfurispirillum indicum,FALSE
Desulfurivibrio alkaliphilus,FALSE
Desulfurobacterium thermolithotrophum,FALSE
Desulfurococcus amylolyticus,FALSE
Desulfurococcus mucosus,FALSE
Desulfuromonas soudanensis,FALSE
Desulfuromonas sp. DDH964,FALSE
Devosia ginsengisoli,FALSE
Devosia sp. 1566,FALSE
Devosia sp. A16,FALSE
Devosia sp. D6-9,FALSE
Devosia sp. I507,FALSE
Devosia sp. MC521,FALSE
Devosia sp. S02,FALSE
Devriesea agamarum,FALSE
Dialister hominis,FALSE
Dialister invisus,TRUE
Dialister massiliensis,FALSE
Dialister micraerophilus,FALSE
Dialister pneumosintes,FALSE
Diaminobutyricimonas sp. LJ205,FALSE
Diaphorobacter aerolatus,FALSE
Diaphorobacter polyhydroxybutyrativorans,FALSE
Diaphorobacter ruginosibacter,FALSE
Diaphorobacter sp. HDW4A,FALSE
Diaphorobacter sp. HDW4B,FALSE
Diaphorobacter sp. JS3050,FALSE
Dichelobacter nodosus,FALSE
Dickeya chrysanthemi,FALSE
Dickeya dadantii,FALSE
Dickeya dianthicola,FALSE
Dickeya fangzhongdai,FALSE
Dickeya paradisiaca,FALSE
Dickeya poaceiphila,FALSE
Dickeya solani,FALSE
Dickeya sp. NCPPB 3274,FALSE
Dickeya sp. Secpp 1600,FALSE
Dickeya zeae,FALSE
Dictyoglomus thermophilum,FALSE
Dictyoglomus turgidum,FALSE
Dietzia cinnamea,FALSE
Dietzia lutea,FALSE
Dietzia psychralcaliphila,FALSE
Dietzia sp. oral taxon 368,FALSE
Dietzia timorensis,FALSE
Dinoroseobacter shibae,FALSE
Dokdonella koreensis,FALSE
Dokdonia donghaensis,FALSE
Dokdonia sp. 4H-3-7-5,FALSE
Dokdonia sp. Dokd-P16,FALSE
Dokdonia sp. MED134,FALSE
Dokdonia sp. PRO95,FALSE
Dolichospermum compactum,FALSE
Dolichospermum flos-aquae,FALSE
Dolichospermum sp. UHCC 0315A,FALSE
Dolosigranulum pigrum,FALSE
Draconibacterium orientale,FALSE
Draconibacterium sp. M1,FALSE
Duganella sp. AF9R3,FALSE
Duganella sp. GN2-R2,FALSE
Duncaniella dubosii,FALSE
Duncaniella sp. C9,FALSE
Dyadobacter fermentans,FALSE
Dyella japonica,FALSE
Dyella sp. G9,FALSE
Dyella sp. M7H15-1,FALSE
Dyella thiooxydans,FALSE
Dysgonomonas sp. HDW5A,FALSE
Dysgonomonas sp. HDW5B,FALSE
Dysosmobacter welbionis,FALSE
Echinicola rosea,FALSE
Echinicola sp. LN3S3,FALSE
Echinicola strongylocentroti,FALSE
Echinicola vietnamensis,FALSE
Ectothiorhodospira haloalkaliphila,FALSE
Ectothiorhodospira sp. BSL-9,FALSE
Edaphobacter sp. 12200R-103,FALSE
Edaphobacter sp. 4G125,FALSE
Edwardsiella anguillarum,FALSE
Edwardsiella hoshinae,FALSE
Edwardsiella ictaluri,FALSE
Edwardsiella piscicida,FALSE
Edwardsiella tarda,FALSE
Eggerthella lenta,FALSE
Eggerthella sp. HF-1101,FALSE
Eggerthella sp. YY7918,FALSE
Eggerthia catenaformis,FALSE
Egibacter rhizosphaerae,FALSE
Egicoccus halophilus,FALSE
Ehrlichia canis,FALSE
Ehrlichia chaffeensis,FALSE
Ehrlichia muris,FALSE
Ehrlichia ruminantium,FALSE
Ehrlichia sp. HF,FALSE
Eikenella corrodens,TRUE
Eikenella exigua,TRUE
Elizabethkingia anophelis,FALSE
Elizabethkingia bruuniana,FALSE
Elizabethkingia meningoseptica,FALSE
Elizabethkingia miricola,FALSE
Elizabethkingia sp. 2-6,FALSE
Elizabethkingia sp. JS20170427COW,FALSE
Elizabethkingia ursingii,FALSE
Elusimicrobium minutum,FALSE
Emcibacter congregatus,FALSE
Emcibacter sp. MEBiC09520,FALSE
Empedobacter brevis,FALSE
Empedobacter falsenii,FALSE
Empedobacter stercoris,FALSE
Encephalitozoon cuniculi,FALSE
Encephalitozoon hellem,FALSE
Encephalitozoon intestinalis,FALSE
Encephalitozoon romaleae,FALSE
Endomicrobium proavitum,FALSE
endosymbiont 'TC1' of Trimyema compressum,FALSE
endosymbiont of Acanthamoeba sp. UWC8,FALSE
endosymbiont of Euscepes postfasciatus,FALSE
endosymbiont of Pachyrhynchus infernalis,FALSE
endosymbiont of Plagiopylea sp.,FALSE
endosymbiont of Sipalinus gigas,FALSE
endosymbiont of unidentified scaly snail isolate Monju,FALSE
Endozoicomonas montiporae,FALSE
Enhydrobacter aerosaccus,FALSE
Ensifer adhaerens,FALSE
Ensifer alkalisoli,FALSE
Ensifer mexicanus,FALSE
Ensifer sojae,FALSE
Enterobacter asburiae,FALSE
Enterobacter bugandensis,FALSE
Enterobacter cancerogenus,FALSE
Enterobacter chengduensis,FALSE
Enterobacter cloacae,FALSE
Enterobacter cloacae complex sp.,FALSE
Enterobacter hormaechei,FALSE
Enterobacter kobei,FALSE
Enterobacter ludwigii,FALSE
Enterobacter mori,FALSE
Enterobacter oligotrophicus,FALSE
Enterobacter roggenkampii,FALSE
Enterobacter sichuanensis,FALSE
Enterobacter soli,FALSE
Enterobacter sp. 638,FALSE
Enterobacter sp. E20,FALSE
Enterobacter sp. E76,FALSE
Enterobacter sp. HK169,FALSE
Enterobacter sp. JUb54,FALSE
Enterobacter sp. N18-03635,FALSE
Enterobacter sp. R4-368,FALSE
Enterobacter sp. RHB15-C17,FALSE
Enterobacter sp. RHBSTW-00175,FALSE
Enterobacter sp. RHBSTW-00593,FALSE
Enterobacter sp. RHBSTW-00975,FALSE
Enterobacter sp. RHBSTW-00994,FALSE
Enterobacter sp. SA187,FALSE
Enterobacteriaceae endosymbiont of Donacia bicoloricornis,FALSE
Enterobacteriaceae endosymbiont of Donacia cincticornis,FALSE
Enterobacteriaceae endosymbiont of Donacia cinerea,FALSE
Enterobacteriaceae endosymbiont of Donacia clavipes,FALSE
Enterobacteriaceae endosymbiont of Donacia crassipes,FALSE
Enterobacteriaceae endosymbiont of Donacia dentata,FALSE
Enterobacteriaceae endosymbiont of Donacia marginata,FALSE
Enterobacteriaceae endosymbiont of Donacia piscatrix,FALSE
Enterobacteriaceae endosymbiont of Donacia provostii,FALSE
Enterobacteriaceae endosymbiont of Donacia proxima,FALSE
Enterobacteriaceae endosymbiont of Donacia semicuprea,FALSE
Enterobacteriaceae endosymbiont of Donacia simplex,FALSE
Enterobacteriaceae endosymbiont of Donacia sparganii,FALSE
Enterobacteriaceae endosymbiont of Donacia thalassina,FALSE
Enterobacteriaceae endosymbiont of Donacia tomentosa,FALSE
Enterobacteriaceae endosymbiont of Donacia versicolorea,FALSE
Enterobacteriaceae endosymbiont of Donacia vulgaris,FALSE
Enterobacteriaceae endosymbiont of Macroplea appendiculata,FALSE
Enterobacteriaceae endosymbiont of Macroplea mutica,FALSE
Enterobacteriaceae endosymbiont of Plateumaris braccata,FALSE
Enterobacteriaceae endosymbiont of Plateumaris consimilis,FALSE
Enterobacteriaceae endosymbiont of Plateumaris pusilla,FALSE
Enterobacteriaceae endosymbiont of Plateumaris rustica,FALSE
Enterobacteriaceae endosymbiont of Plateumaris sericea,FALSE
Enterocloster bolteae,TRUE
Enterocloster clostridioformis,FALSE
Enterococcus avium,FALSE
Enterococcus casseliflavus,FALSE
Enterococcus cecorum,FALSE
Enterococcus durans,FALSE
Enterococcus faecalis,FALSE
Enterococcus faecium,FALSE
Enterococcus gallinarum,FALSE
Enterococcus gilvus,FALSE
Enterococcus hirae,FALSE
Enterococcus italicus,FALSE
Enterococcus mundtii,FALSE
Enterococcus saccharolyticus,FALSE
Enterococcus saigonensis,FALSE
Enterococcus sp. CR-Ec1,FALSE
Enterococcus sp. FDAARGOS_375,FALSE
Enterococcus sp. HSIEG1,FALSE
Enterococcus sp. M190262,FALSE
Enterococcus thailandicus,FALSE
Enterococcus wangshanyuanii,FALSE
Entomomonas moraniae,FALSE
Entomoplasma freundtii,FALSE
Entomoplasma luminosum,FALSE
Entomoplasma melaleucae,FALSE
Entomoplasma somnilux,FALSE
Ephemeroptericola cinctiostellae,FALSE
Epibacterium mobile,FALSE
Epidermidibacterium keratini,FALSE
Epilithonimonas vandammei,FALSE
Ereboglobus luteus,FALSE
Eremothecium cymbalariae,FALSE
Eremothecium gossypii,FALSE
Eremothecium sinecaudum,FALSE
Erwinia amylovora,FALSE
Erwinia billingiae,FALSE
Erwinia gerundensis,FALSE
Erwinia persicina,FALSE
Erwinia pyrifoliae,FALSE
Erwinia sp. Ejp617,FALSE
Erwinia sp. J780,FALSE
Erwinia tasmaniensis,FALSE
Erysipelatoclostridium ramosum,FALSE
Erysipelothrix inopinata,FALSE
Erysipelothrix larvae,FALSE
Erysipelothrix piscisicarius,FALSE
Erysipelothrix rhusiopathiae,FALSE
Erysipelothrix sp. HDW6A,FALSE
Erysipelothrix sp. HDW6B,FALSE
Erysipelothrix sp. HDW6C,FALSE
Erysipelothrix tonsillarum,FALSE
Erythrobacter atlanticus,FALSE
Erythrobacter aureus,FALSE
Erythrobacter flavus,FALSE
Erythrobacter gangjinensis,FALSE
Erythrobacter litoralis,FALSE
Erythrobacter mangrovi,FALSE
Erythrobacter seohaensis,FALSE
Erythrobacter sp. HKB08,FALSE
Erythrobacter sp. HL-111,FALSE
Erythrobacter sp. KY5,FALSE
Erythrobacter sp. THAF29,FALSE
Erythromicrobium ramosum,FALSE
Escherichia albertii,FALSE
Escherichia coli,TRUE
Escherichia fergusonii,FALSE
Escherichia marmotae,FALSE
Escherichia sp. E4742,FALSE
Ethanoligenens harbinense,FALSE
Eubacterium callanderi,FALSE
Eubacterium limosum,FALSE
Eubacterium maltosivorans,FALSE
Eubacterium sp. NSJ-61,FALSE
Euhalothece natronophila,FALSE
Euzebya sp. DY32-46,FALSE
Euzebyella marina,FALSE
Ewingella americana,FALSE
Exiguobacterium acetylicum,FALSE
Exiguobacterium antarcticum,FALSE
Exiguobacterium mexicanum,FALSE
Exiguobacterium sibiricum,FALSE
Exiguobacterium sp. AT1b,FALSE
Exiguobacterium sp. Helios,FALSE
Exiguobacterium sp. MH3,FALSE
Exiguobacterium sp. N4-1P,FALSE
Exiguobacterium sp. U13-1,FALSE
Exiguobacterium sp. ZWU0009,FALSE
Ezakiella massiliensis,FALSE
Faecalibacterium prausnitzii,TRUE
Faecalibaculum rodentium,FALSE
Faecalitalea cylindroides,FALSE
Fannyhessea vaginae,FALSE
Fastidiosipila sanguinis,FALSE
Ferrimonas balearica,FALSE
Ferrimonas sp. S7,FALSE
Ferriphaselus amnicola,FALSE
Ferroglobus placidus,FALSE
Ferroplasma acidarmanus,FALSE
Ferroplasma acidiphilum,FALSE
Ferrovibrio terrae,FALSE
Fervidicoccus fontis,FALSE
Fervidobacterium changbaicum,FALSE
Fervidobacterium nodosum,FALSE
Fervidobacterium pennivorans,FALSE
Fibrella aestuarina,FALSE
Fibrella sp. ES10-3-2-2,FALSE
Fibrobacter succinogenes,FALSE
Fictibacillus arsenicus,FALSE
Fictibacillus phosphorivorans,FALSE
Filifactor alocis,TRUE
Filimonas lacunae,FALSE
Fimbriimonas ginsengisoli,FALSE
Finegoldia magna,FALSE
Fischerella sp. NIES-3754,FALSE
Fischerella sp. NIES-4106,FALSE
Flagellimonas maritima,FALSE
Flammeovirga pectinis,FALSE
Flammeovirga sp. MY04,FALSE
Flaviflexus salsibiostraticola,FALSE
Flaviflexus sp. dk850,FALSE
Flaviflexus sp. H23T48,FALSE
Flavihumibacter sp. SB-02,FALSE
Flavisolibacter ginsenosidimutans,FALSE
Flavisolibacter sp. 17J28-1,FALSE
Flavisolibacter tropicus,FALSE
Flavivirga eckloniae,FALSE
Flavobacterium album,FALSE
Flavobacterium alkalisoli,FALSE
Flavobacterium anhuiense,FALSE
Flavobacterium arcticum,FALSE
Flavobacterium branchiophilum,FALSE
Flavobacterium columnare,FALSE
Flavobacterium commune,FALSE
Flavobacterium crassostreae,FALSE
Flavobacterium crocinum,FALSE
Flavobacterium faecale,FALSE
Flavobacterium gilvum,FALSE
Flavobacterium haoranii,FALSE
Flavobacterium indicum,FALSE
Flavobacterium johnsoniae,FALSE
Flavobacterium kingsejongi,FALSE
Flavobacterium magnum,FALSE
Flavobacterium nackdongense,FALSE
Flavobacterium nitrogenifigens,FALSE
Flavobacterium pallidum,FALSE
Flavobacterium psychrophilum,FALSE
Flavobacterium sangjuense,FALSE
Flavobacterium sediminis,FALSE
Flavobacterium sp. 140616W15,FALSE
Flavobacterium sp. CJ74,FALSE
Flavobacterium sp. HYN0086,FALSE
Flavobacterium sp. I3-2,FALSE
Flavobacterium sp. KBS0721,FALSE
Flavobacterium sp. LPB0248,FALSE
Flavobacterium sp. M31R6,FALSE
Flavobacterium sp. MDT1-60,FALSE
Flavobacterium sp. P2-65,FALSE
Flavobacterium sp. Sr18,FALSE
Flavobacterium sp. xlx-214,FALSE
Flavonifractor plautii,FALSE
Flexistipes sinusarabici,FALSE
Flintibacter sp. KGMB00164,FALSE
Fluoribacter dumoffii,FALSE
Fluviicola taffensis,FALSE
Formosa agariphila,FALSE
Formosa sediminum,FALSE
Formosa sp. Hel1_31_208,FALSE
Formosa sp. Hel1_33_131,FALSE
Formosa sp. Hel3_A1_48,FALSE
Formosa sp. L2A11,FALSE
Francisella adeliensis,FALSE
Francisella frigiditurris,FALSE
Francisella halioticida,FALSE
Francisella hispaniensis,FALSE
Francisella marina,FALSE
Francisella noatunensis,FALSE
Francisella opportunistica,FALSE
Francisella orientalis,FALSE
Francisella persica,FALSE
Francisella philomiragia,FALSE
Francisella salina,FALSE
Francisella sp. FSC1006,FALSE
Francisella sp. LA112445,FALSE
Francisella sp. Scap27,FALSE
Francisella tularensis,FALSE
Francisella uliginis,FALSE
Frankia alni,FALSE
Frankia casuarinae,FALSE
Frankia inefficax,FALSE
Frankia sp. EAN1pec,FALSE
Frankia sp. QA3,FALSE
Frateuria aurantia,FALSE
Frederiksenia canicola,FALSE
Fretibacterium fastidiosum,TRUE
Friedmanniella luteola,FALSE
Friedmanniella sagamiharensis,FALSE
Frigoribacterium sp. NBH87,FALSE
Frigoriglobus tundricola,FALSE
Frischella perrara,FALSE
Frondihabitans sp. 762G35,FALSE
Frondihabitans sp. PAMC 28766,FALSE
Fuerstia marisgermanicae,FALSE
Fusarium fujikuroi,FALSE
Fusarium graminearum,FALSE
Fusarium oxysporum,FALSE
Fusarium pseudograminearum,FALSE
Fusarium venenatum,FALSE
Fusarium verticillioides,FALSE
Fusobacterium gonidiaformans,FALSE
Fusobacterium hwasookii,TRUE
Fusobacterium massiliense,TRUE
Fusobacterium mortiferum,FALSE
Fusobacterium naviforme,FALSE
Fusobacterium necrophorum,FALSE
Fusobacterium nucleatum,TRUE
Fusobacterium periodonticum,TRUE
Fusobacterium pseudoperiodonticum,TRUE
Fusobacterium sp. CM1,TRUE
Fusobacterium sp. CM22,TRUE
Fusobacterium sp. HMSC064B11,TRUE
Fusobacterium sp. HMSC064B12,TRUE
Fusobacterium sp. HMSC065F01,TRUE
Fusobacterium sp. NSJ-57,FALSE
Fusobacterium sp. OBRC1,TRUE
Fusobacterium sp. oral taxon 203,TRUE
Fusobacterium sp. oral taxon 370,TRUE
Fusobacterium ulcerans,FALSE
Fusobacterium varium,FALSE
Galbibacter sp. BG1,FALSE
Gallaecimonas mangrovi,FALSE
Gallibacterium anatis,FALSE
Gallionella capsiferriformans,FALSE
Gardnerella leopoldii,FALSE
Gardnerella vaginalis,FALSE
Geitlerinema sp. PCC 7407,FALSE
Gemella bergeri,FALSE
Gemella haemolysans,TRUE
Gemella morbillorum,TRUE
Gemella sanguinis,TRUE
Gemella sp. ND 6198,FALSE
Gemella sp. oral taxon 928,FALSE
Geminocystis herdmanii,FALSE
Geminocystis sp. NIES-3708,FALSE
Geminocystis sp. NIES-3709,FALSE
Gemmata massiliana,FALSE
Gemmata obscuriglobus,FALSE
Gemmata sp. SH-PL17,FALSE
Gemmatimonas aurantiaca,FALSE
Gemmatimonas phototrophica,FALSE
Gemmatimonas sp. TET16,FALSE
Gemmatirosa kalamazoonesis,FALSE
Gemmobacter sp. HYN0069,FALSE
Geoalkalibacter subterraneus,FALSE
Geobacillus genomosp. 3,FALSE
Geobacillus kaustophilus,FALSE
Geobacillus sp. 44B,FALSE
Geobacillus sp. 44C,FALSE
Geobacillus sp. 46C-IIa,FALSE
Geobacillus sp. C56-T3,FALSE
Geobacillus sp. E263,FALSE
Geobacillus sp. GHH01,FALSE
Geobacillus sp. JS12,FALSE
